snr_db,noise_type,r2_sigma1,r2_sigma2,r2_d1,r2_d2,r2_mean
40,white,0.9951,0.8883,0.9873,0.6030,0.8684
30,white,0.9951,0.8882,0.9873,0.6027,0.8683
20,white,0.9950,0.8873,0.9874,0.6006,0.8676
10,white,0.9950,0.8846,0.9875,0.5925,0.8649
5,white,0.9948,0.8812,0.9878,0.5935,0.8643
40,colored,0.9951,0.8883,0.9873,0.6030,0.8684
30,colored,0.9951,0.8883,0.9873,0.6029,0.8684
20,colored,0.9950,0.8881,0.9873,0.6019,0.8681
10,colored,0.9950,0.8865,0.9874,0.5945,0.8658
5,colored,0.9950,0.8848,0.9875,0.5859,0.8633
