model,model_variant,sigma1_imp,sigma2_imp,d1_imp,d2_imp,sigma1_rt,sigma2_rt,d1_rt,d2_rt,max_pct_diff
A: Shelf,DualTCN,3.1053,0.6165,80.51,29.56,5.0119,1.0000,110.17,36.72,62.20
B: Gas hydrate,DualTCN,3.3129,0.0370,96.54,18.03,0.1771,1.0000,100.29,49.49,2602.13
C: Low contrast,DualTCN,2.6904,0.6378,56.71,45.15,4.8243,0.8644,118.43,11.11,108.82
D: Resistive basement,DualTCN,3.8521,0.0054,115.12,11.74,0.1052,1.0000,122.33,41.46,18484.28
E: Intermediate,DualTCN,1.7799,0.2575,90.60,36.60,3.9157,1.0000,98.62,49.09,288.34
A: Shelf,DualTCN-AmpAug,3.2519,0.4792,79.38,29.93,0.2829,1.0000,95.69,19.19,108.66
B: Gas hydrate,DualTCN-AmpAug,3.1039,0.0155,95.48,19.21,2.2210,1.0000,100.84,22.54,6348.16
C: Low contrast,DualTCN-AmpAug,2.3787,0.5023,56.60,39.12,4.9276,0.3228,82.68,13.49,107.15
D: Resistive basement,DualTCN-AmpAug,3.6801,0.0109,114.17,15.09,2.4536,1.0000,118.46,11.32,9068.44
E: Intermediate,DualTCN-AmpAug,1.7787,0.2388,89.94,31.61,1.2050,1.0000,97.06,26.92,318.72
